XXX,Country,Govt. Data Requests,Govt. Specified Accounts ,"No user, Data not found #","No user, Data not found %","No user, Rejected #"," ""No user"," Rejected %"" ""NCD #"""," ""NCD %"""," ""Content #""",Content %,Responses
AR,Argentina,186,210,27,15,36,19,91,49,32,17,123
AU,Australia,704,799,146,21,242,34,305,43,11,2,316
BR,Brazil,308,385,54,18,51,17,146,47,57,18,203
CA,Canada,29,43,0,0,1,3,2,7,26,90,28
FR,France,1855,2373,207,11,324,18,1121,60,203,11,1324
DE,Germany,4295,5306,440,10,816,19,2812,66,227,5,3039
HK,Hong Kong,839,839,307,36,0,0,527,63,5,1,532
IN,India,1490,2704,155,10,500,34,494,33,341,23,835
IE,Ireland,17,17,0,0,2,12,12,70,3,18,15
IT,Italy,2637,2937,279,11,584,22,1501,57,273,10,1774
MX,Mexico,150,202,16,11,38,25,88,59,8,5,96
NZ,New Zealand,9,9,1,11,1,11,2,22,5,56,7
SG,Singapore,138,189,7,5,56,41,73,53,2,1,75
ES,Spain,718,958,85,12,133,18,345,48,155,22,500
TW,Taiwan,1942,2650,109,6,46,2,1736,89,51,3,1787
GB,United Kingdom,1709,2832,146,9,456,27,760,44,347,20,1107
US,United States,12444,40322,801,6,241,2,6798,55,4604,37,11402
